"module name","license","repository","copyright"
"@apidevtools/json-schema-ref-parser@9.1.2","MIT","https://github.com/APIDevTools/json-schema-ref-parser","publisher"
"@apidevtools/openapi-schemas@2.1.0","MIT","https://github.com/APIDevTools/openapi-schemas","publisher"
"@apidevtools/swagger-methods@3.0.2","MIT","https://github.com/APIDevTools/swagger-methods","publisher"
"@apidevtools/swagger-parser@10.0.3","MIT","https://github.com/APIDevTools/swagger-parser","publisher"
"@colors/colors@1.5.0","MIT","https://github.com/DABH/colors.js","publisher"
"@dabh/diagnostics@2.0.3","MIT","https://github.com/3rd-Eden/diagnostics","publisher"
"@datadog/native-appsec@3.2.0","Apache-2.0","https://github.com/DataDog/dd-native-appsec-js","publisher"
"@datadog/native-iast-rewriter@2.0.1","Apache-2.0","https://github.com/DataDog/dd-native-iast-rewriter-js","publisher"
"@datadog/native-iast-taint-tracking@1.5.0","Apache-2.0","https://github.com/DataDog/dd-native-iast-taint-tracking-js","publisher"
"@datadog/native-metrics@2.0.0","Apache-2.0","https://github.com/DataDog/dd-native-metrics-js","publisher"
"@datadog/pprof@2.2.3","Apache-2.0","https://github.com/datadog/pprof-nodejs","publisher"
"@datadog/sketches-js@2.1.0","Apache-2.0","https://github.com/DataDog/sketches-js","publisher"
"@faker-js/faker@7.6.0","MIT","https://github.com/faker-js/faker","publisher"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono","publisher"
"@opentelemetry/api@1.4.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js","publisher"
"@opentelemetry/core@1.15.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js","publisher"
"@opentelemetry/semantic-conventions@1.15.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js","publisher"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/codegen@2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/inquire@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","publisher"
